# npts = 3611
# number of variables = 27
density
temperature
ye
velx
pressure
entr
abar
enuc
n
H1
p
He3
He4
C12
N14
O16
Ne20
Mg24
Si28
S32
Ar36
Ca40
Ti44
Cr48
Fe52
Fe54
Ni56
         4651870.9905399996787          1794027182.6700000763          6578141262.8100004196         0.46356096812100000548         -938.19234752199997729      1.0395359875500000641e+27         0.85577743408499995503          52.012671670300001381            1604638470929999872       0.0012626984321500000618                              0      8.7700250676499994004e-08                              0      0.00055441222599900000841      3.5584039366999999734e-09                              0      7.9012460646199995685e-10      2.5463616506199999499e-12       2.763701442499999891e-11      1.0144759456599999927e-09      1.5991370040100000693e-10      1.8410868266700000769e-11      3.6039072888400000666e-12      3.0994305020100002568e-14      2.8192088157899999095e-14      2.5061633908000001177e-14      2.6294243215499998808e-06         0.99818016664167197316
         5517263.2978900000453          1787795215.1900000572          6575521051.6099996567         0.46356576897000001392         -1128.2899246500001027      1.0348545230100000242e+27         0.85615766259299996843          52.034326122000003068            -284061684031000000       0.0012546592917199999185                              0      8.7864944838399995714e-08                              0      0.00055395710103500002321      3.5427748668899999789e-09                              0      7.8712870933199994879e-10      2.5336250111200001326e-12      2.7556030646499999342e-11      1.0140656422499999325e-09      1.5995906223499999328e-10      1.8423867176599999865e-11      3.6103948184699998497e-12      3.1039481414900002993e-14      2.8291983879799999662e-14      2.5213597856999999567e-14      2.6404804421300000286e-06         0.99818864970530218894
         6679988.4907499998808          1777443912.1900000572          6571141937.8999996185            0.46357372551199999         -1386.3093439799999942      1.0270894317900000061e+27         0.85679314714499998917          52.070291674999999998           -2899368296529999872       0.0012413256853999999306                              0      8.8136949319800006338e-08                              0      0.00055318635327900001972      3.5167114097700001794e-09                              0      7.8212847855900000322e-10      2.5124204486300000526e-12      2.7420678408000001087e-11      1.0133647561099999604e-09       1.600322757700000114e-10       1.844524651620000028e-11      3.6211725250800000898e-12      3.1114046660900001745e-14      2.8458465459299997539e-14      2.5468222887599998559e-14      2.6589937311499998971e-06         0.99820273530599235023
         8222913.2774799996987          1760627586.4500000477          6563981355.1099996567         0.46358655470699999812         -1726.0834902399999464      1.0145044417900000436e+27          0.8578401436210000286          52.128396440099997733            3054275954830000128       0.0012198285515000000228                              0      8.8578938536799998736e-08                              0      0.00055192084475800000289      3.4743835520700000905e-09                              0      7.7399603796700000743e-10      2.4780335445099999757e-12      2.7199874957600000695e-11      1.0121910145299999769e-09      1.6014628423800000977e-10      1.8479374451599999537e-11      3.6386412364800001139e-12      3.1233745470700002796e-14      2.8729906876600002042e-14      2.5887092425699999976e-14      2.6894027106599999379e-06         0.99822546714925275424
         10449525.427699999884          1729936291.8900001049          6550619032.4899997711         0.46360992560999997325         -2240.0516755399999056      9.9162676462300003785e+26         0.85977698259000001624          52.235056303999996885            1088444765080000000       0.0011805351284099999988                              0      8.9360870034100004774e-08                              0      0.00054942221554199997813      3.3956232279800001507e-09                              0      7.5882496399099998346e-10      2.4144403066200000835e-12      2.6786469220199998758e-11      1.0098241211699999136e-09      1.6033056049900000413e-10      1.8539439964799999111e-11      3.6705407633399997558e-12      3.1447440692200000089e-14      2.9230294611900000959e-14      2.6672047112300000214e-14      2.7463462142799998722e-06          0.9982672015727032111
         12567168.778400000185          1696704555.0699999332          6535792720.5500001907         0.46363500136000002083         -2594.6197244999998475      9.6699243805800000892e+26         0.86192615902299996034          52.350420920300003047             698502007067000064       0.0011382657677399998959                              0       9.018305578380000076e-08                              0      0.00054651696706399998868      3.3090723320000001617e-09                              0      7.4209156141699997976e-10      2.3449907393199998099e-12      2.6327696144000000986e-11      1.0069768272099999411e-09      1.6049654290099998976e-10      1.8600982517000000269e-11      3.7049480459200002563e-12      3.1670987245999998372e-14      2.9777757363600001656e-14      2.7550487883499999637e-14      2.8099760015000000205e-06         0.99831231183605384505
         14167927.121600000188          1673029510.5899999142          6525056154.1899995804         0.46365262495400000331         -2785.8767636100001255      9.4953243882700003792e+26         0.86350076907200001841          52.431807644400002744             751416857588000000        0.001108578640790000092                              0      9.0762953526100003643e-08                              0        0.000544386630846000006      3.2474232905399999593e-09                              0      7.3014812307600005166e-10      2.2952791727300001311e-12      2.5993819291200000281e-11      1.0047056885699999032e-09      1.6058190940799999971e-10      1.8641269994799999553e-11      3.7290839676200003676e-12      3.1823644109999999015e-14      3.0169550553400002756e-14      2.8192864377900001338e-14      2.8564291903399999666e-06         0.99834408234294447215
         15784435.201500000432          1648915580.7599999905           6513882255.470000267         0.46367048578199998587         -3073.7974518000000899      9.3182372076399995811e+26         0.86513036621999994669          52.514908761299999185             224686418029000000       0.0010783916182200000908                              0      9.1333400725900006019e-08                              0      0.00054208922483199996172      3.1839840437200001723e-09                              0      7.1785870945199996085e-10      2.2433543060200001589e-12      2.5637924427099999533e-11      1.0019204941999999452e-09      1.6060789031699999818e-10      1.8676260368400001062e-11      3.7529562985499997224e-12      3.1970093118500000538e-14      3.0569171599699999559e-14      2.8863339872599999728e-14       2.904932946659999813e-06         0.99837651777546498888
         16959766.982299998403          1628010661.6600000858          6504083833.3000001907         0.46368577058200000085         -3203.2578453900000568      9.1653641761000004084e+26         0.86657788136600000239          52.586180224700001418           -1415162198249999872       0.0010525922873900000164                              0      9.1825491127600005515e-08                              0      0.00054006331693100002173      3.1290800679599999512e-09                              0      7.0719037020199999666e-10      2.1985770099500000812e-12      2.5327741703700001346e-11      9.9941455637299996819e-10      1.6061645951000000464e-10      1.8704824074899999388e-11      3.7734589976599999396e-12      3.2092688406399997706e-14      3.0916683235099999865e-14      2.9456472519500000163e-14      2.9477888363199998563e-06           0.998404299734465428
         18052843.853000000119          1611118692.2699999809          6495982886.3400001526         0.46369812979000002429         -3381.4592879599999833      9.0422447848299997095e+26         0.86775604592999999731          52.644347226599997214            1292142183369999872       0.0010316168904499999331                              0      9.2201444759300003089e-08                              0      0.00053829340835599996575      3.0836861086400000627e-09                              0      6.9834400966799996243e-10      2.1618368986999998726e-12      2.5070371245900001593e-11      9.9722906065299997986e-10      1.6060508755699999454e-10      1.8726126158400000639e-11      3.7899304590499997583e-12      3.2187971983599997049e-14      3.1199002596100002879e-14      2.9946302596199998076e-14      2.9832397532099999831e-06         0.99842700927066596606
