# npts = 3611
# number of variables = 27
density
temperature
ye
velx
pressure
entr
abar
enuc
n
H1
p
He3
He4
C12
N14
O16
Ne20
Mg24
Si28
S32
Ar36
Ca40
Ti44
Cr48
Fe52
Fe54
Ni56
          142443543.0909999907          38960554.152999997139          4419879476.9899997711          0.4759482814959999919         -24883.504690599998867      9.5811551300999999841e+24          1.8779617606100000859          54.161987641700001461                  1286558062250      5.5865635019800003836e-09                              0      2.6232689312700000503e-05                              0       0.0005850393690549999734      1.3902917652600001007e-09                              0      4.1292160663599999902e-09      1.7530371191000001132e-11      1.2297982809800000619e-08       4.645563012790000139e-05      6.0296541683800001425e-05      3.7405499015000001606e-05      6.5447087806000004838e-05      8.1730334806799997849e-07      1.1716903749100000226e-05      0.00021837432826900000232         0.66768858876799996871         0.33125960245817831495
          143008318.8409999907          38324808.495300002396          4407243582.9899997711         0.47607646834500000343         -24977.946492800001579      9.3983471638700000396e+24          1.8839019211100000994          54.163223543800000925                  1279422531020       5.151448806920000334e-09                              0      2.5598212752899998412e-05                              0      0.00056510362097899995149      1.3105481415199999772e-09                              0      3.9503713204700002652e-09      1.6581174150299998466e-11      1.1928285246999999661e-08      4.6294086712299999987e-05      6.0350519097200001667e-05      3.7492619257500000847e-05      6.5892811052899996475e-05      8.1416366863100005003e-07      1.1768672841999999184e-05      0.00022172121416099999655         0.67498190434600002785         0.32398303737578787453
         143573272.41200000048          37689876.876400001347          4395225293.4300003052         0.47619990113600002557         -25072.727966099999321      9.2179918905300002254e+24          1.8903134247299999693          54.163421638499997357                  1295142969440      4.7703170111999998507e-09                              0      2.5036517453399999045e-05                              0      0.00054715912712699997771      1.2417185191299999205e-09                              0      3.7982143490399998226e-09      1.5767185734200000458e-11       1.161865958590000041e-08      4.6262027041200000116e-05      6.0544499195899997932e-05      3.7652996261299997093e-05      6.6435129325900001964e-05      8.1226272556999994996e-07      1.1829683261999999214e-05      0.00022509007245999999706         0.68199445360400001714         0.31698470263644751288
         144356731.74599999189           36833558.18900000304          4377524622.9799995422         0.47637607643399998425         -25239.419419099998777      8.9732060057999995254e+24          1.8986303058100000296          54.164834983799998724                  1292257536160      4.2512369310000002189e-09                              0      2.4159249835999998954e-05                              0      0.00052020315754999996247      1.1472049041099999425e-09                              0       3.590213768699999842e-09      1.4652743654699999559e-11      1.1188650590999999911e-08      4.6246387828600001946e-05      6.0841589766000002426e-05      3.7878453116399997467e-05      6.7193276115100000626e-05      8.0848558398099996966e-07      1.1902460132299999353e-05      0.00022975871500099999422         0.69200398024700005006          0.3069970077867917313
          145185788.4129999876           35823914.66059999913          4358289533.7700004578          0.4765715160480000212         -25383.675606400000106      8.6902345358699995899e+24          1.9097244887400000035          54.163975378400003535                  1317247606160         3.7538290822499996e-09                              0      2.3310290791800001003e-05                              0      0.00049333856155500004949      1.0597656259100000063e-09                              0      3.4052905030400000982e-09      1.3634716462300000677e-11      1.0824283011599999475e-08      4.6576816900999999541e-05      6.1578655918200002296e-05      3.8348847365100002511e-05      6.8364558219999993884e-05      8.0745390727200004598e-07       1.201561643260000012e-05      0.00023535443157100000293         0.70308227382699994834          0.2959380118831769213
          145970074.2879999876          34995798.028399996459           4340040461.470000267          0.4767478293669999978         -25504.583253000000695      8.4550786868700003403e+24          1.9181391627099999564          54.165181815700002232                  1311314564280      3.3249024004099998311e-09                              0      2.2415828477799999355e-05                              0       0.0004667103841409999971      9.8424788833400003072e-10                              0      3.2489390563600000912e-09      1.2759405899099999331e-11      1.0511736058499999942e-08      4.6958989425499999897e-05      6.2318265061700001085e-05      3.8787816488099996861e-05      6.9422077677199999749e-05      8.0498262487300000135e-07      1.2095691093800000449e-05      0.00024013849788199998847         0.71308236280299996945          0.2859579665821224137
         146661045.70500001311          34327578.811700001359          4324880001.1499996185          0.4768925027529999916         -25601.578125399999408      8.2658050261900004069e+24          1.9250354690900000065          54.166045413200002656                  1315206014460      3.0029254967899998008e-09                              0      2.1678406947400000871e-05                              0      0.00044503938355000002098      9.2940340899300004921e-10                              0      3.1413818785999999794e-09       1.213021480310000052e-11       1.030628461339999952e-08      4.7472095701100000987e-05      6.3150050312400001699e-05      3.9257797349499997666e-05      7.0444758636599997116e-05      8.0376064251999997663e-07       1.216712148829999955e-05      0.00024412242019800000302         0.72128201708999994946         0.27777382972228675806
         147383899.49200001359           33668578.16629999876          4309352761.9399995804         0.47703660276400000617         -25723.125730600000679      8.0791895534199994665e+24          1.9318416346700000297          54.167168139799997562                  1307543612250      2.7030293101500000522e-09                              0       2.091652859600000037e-05                              0      0.00042314623115499998447      8.8004898879799999235e-10                              0      3.0509007640800000825e-09      1.1567886793700000269e-11      1.0143100204500000585e-08      4.8178572783400000165e-05      6.4194861195999999522e-05       3.982502097869999771e-05      7.1595775015099996836e-05      8.0277889567000005141e-07      1.2236088397099999638e-05      0.00024800774333200002351          0.7294502420840000001         0.26962083752689530725
         148208735.28099998832          32868314.960499998182          4290291545.9400000572         0.47721403596799999436           -25870.9602890999995       7.853855000030000328e+24          1.9404071714799999704          54.167782452700002693                  1313442335070      2.3722127400899999649e-09                              0       2.001054732779999841e-05                              0      0.00039714360645299998966      8.2978073237299997087e-10                              0      2.9717110298500000042e-09      1.1004570002700000551e-11      1.0028627096999999802e-08      4.9426876866599998264e-05      6.5918379595900002555e-05       4.074481499539999883e-05       7.333675367900000506e-05      8.0386660577599994787e-07      1.2343674088699999991e-05      0.00025306308751100000569         0.73949428865199995364         0.25959290352828612303
         149008543.58899998665           32059132.50019999966          4273847975.9600000381         0.47738703538700000273          -25993.54451490000065      7.6333723351399998664e+24          1.9509502261600000228          54.163816352899999629                  1310469353640      2.1190157277099998905e-09                              0      1.9398809883800000644e-05                              0      0.00037741167673000002242      7.9888659698100001057e-10                              0      2.9453377246900001935e-09      1.0681679929899999983e-11      1.0064711051899999956e-08      5.1199756214499998026e-05      6.8296808113300002817e-05      4.2051626466500000945e-05      7.5706625258900004131e-05      8.1290473310699995131e-07      1.2550347718300000033e-05        0.000259576007267999973         0.74921718025700001498         0.24987579924224259664
         149716796.71900001168          31424912.785199999809          4259222338.5799999237         0.47752704256400002603         -26090.384449900000618      7.4584410899199998873e+24          1.9587122765900000232          54.162452315199999475                  1310334885270       1.913998863910000137e-09                              0      1.8776053326800001435e-05                              0       0.0003591732687989999972      7.7526140839700001508e-10                              0      2.9338567833300001897e-09      1.0429818478900000693e-11      1.0118664007100000478e-08      5.2893510661500000799e-05       7.049173243569999451e-05      4.3208164645399998929e-05      7.7729972008200003543e-05      8.1861788788799997923e-07      1.2689559665200000709e-05      0.00026432900502799998527         0.75710706633299995616         0.24199280802979838967
         150466644.46900001168           30804350.07290000096          4243640124.5599999428         0.47766813947499997539         -26213.641243300000497      7.2860063399200002996e+24          1.9659832983400000739          54.162015556400000094                  1309758244650      1.7149914140599998986e-09                              0      1.8075518460099998627e-05                              0      0.00033963172978800001143      7.5538661146899998536e-10                              0      2.9393914396899999249e-09      1.0216124093300000048e-11      1.0219740290399999687e-08      5.4944612878900002406e-05        7.30771028173999985e-05      4.4532537905500001716e-05      7.9970580332200001325e-05      8.2413633295499995094e-07      1.2819214685000000664e-05      0.00026884914238200000296         0.76507003744400003953         0.23403722234080298614
         151403611.32400000095          29981991.076099999249                     4222665791         0.47785558868499999896         -26386.732114599999477      7.0587026229399999354e+24           1.975950062639999949          54.160865948599997921                  1311891955020      1.4771893677700000946e-09                              0      1.7157992589999998621e-05                              0      0.00031435217464999997599      7.3903773107600003973e-10                              0      2.9836971350499998646e-09      1.0041707416199999633e-11      1.0460690732800000103e-08      5.8345535290900002727e-05      7.7277937511200005065e-05      4.6655672336199998859e-05      8.3464225751699993444e-05      8.3400394574499998757e-07      1.3015353784399999449e-05      0.00027510224504299999335         0.77563816225799997461         0.22347561692985012938
         152238416.18500000238          29213708.330899998546          4202066681.2199997902         0.47803573411299998819         -26498.265220799999952      6.8464573742100001734e+24          1.9852900121499998942           54.15946869140000075                  1312336007440      1.2727169072999999826e-09                              0      1.6267742064300000674e-05                              0      0.00029039114643799999625      7.3420948955900002362e-10                              0      3.0689169389400001015e-09      9.9862663959999992784e-12      1.0815439400800000126e-08      6.2464534337599994995e-05      8.2262870505500005876e-05       4.913251683060000126e-05      8.7429957644600004977e-05      8.4604023056299999439e-07      1.3226852571600000393e-05      0.00028133580031600001091         0.78578488828299997149         0.21333173835526672568
         152943467.44600000978          28689993.765799999237          4187133945.4200000763         0.47816084123500002256         -26585.106262699999206      6.7012767323299994917e+24          1.9915034821999999526          54.158689700300001846                  1313321075760      1.1408871599599999663e-09                              0      1.5616915856299999859e-05                              0      0.00027348804434699998432      7.3715052986199997619e-10                              0      3.1552065033599998172e-09      1.0005652443800000684e-11      1.1139113236500000687e-08      6.5928656765699994056e-05      8.6378336101299995091e-05      5.1136386771200000652e-05      9.0558587983500006004e-05      8.5522087148500004165e-07       1.337607585810000073e-05       0.0002855719807669999835         0.79283582993400003591         0.20628124367806760509
          153627723.4129999876          28203223.672400001436          4173136058.4299998283         0.47827642161200001336         -26684.454205699999875      6.5669539504399996756e+24          1.9974478080699999971          54.157604833400000643                  1314797169570      1.0289764333499999176e-09                              0      1.5024182287999999358e-05                              0       0.0002582994051829999734      7.4505030939800003826e-10                              0      3.2564449504000000414e-09       1.007137317440000077e-11      1.1500826663600000753e-08      6.9619601344800003794e-05      9.0716552603299996111e-05      5.3226405217900001066e-05      9.3775826296999995838e-05      8.6495142519000003207e-07      1.3525592380199999337e-05      0.00028960530851400000801         0.79934391806200000286         0.19977140757158540207
         154304812.62299999595          27690880.601300001144          4158045459.7800002098          0.4783988813089999903          -26783.89175669999895      6.4258334035800001935e+24          2.0037684097000001415           54.15615453670000079                  1315514315430      9.1962494562100003312e-10                              0      1.4398875929000000569e-05                              0      0.00024254981217499999458      7.5907972856500000675e-10                              0       3.388238749490000026e-09      1.0190507778300000594e-11      1.1955065790399999539e-08      7.4114028852100005554e-05       9.594155131839999899e-05      5.5714120638100002856e-05      9.7552546470799998126e-05      8.7650961616999997747e-07      1.3695335060399999979e-05      0.00029399376205400002413         0.80623317262299998287         0.19287797380308949191
         155068303.99700000882          27118174.231400001794          4141174022.0999999046         0.47853377560499998911         -26908.793021500001487      6.2691551986799996368e+24          2.0111484774499999162          54.153967613500000766                  1317759496580      8.1034873214000002472e-10                              0      1.3727912240800000415e-05                              0      0.00022588723225599999624      7.8137687333400001378e-10                              0      3.5636890262699999915e-09      1.0378888872899999836e-11      1.2543858010899999567e-08      7.9831520923399998824e-05      0.00010251891806099999369      5.8809206461200002876e-05      0.00010219173357400000452      8.9091936837399995664e-07      1.3899109752299999856e-05      0.00029903836171000001097         0.81381012824400000838         0.18529305913123980676
         156055366.63299998641          26367622.904300000519          4117861701.4000000954         0.47871714336600001971         -27084.224429300000338      6.0636096437299999744e+24          2.0207195005499998253          54.150266858000001946                  1322554070810      6.7820413497200004977e-10                              0      1.2827973590200000527e-05                              0      0.00020406027242900000762      8.2459612208300002485e-10                              0      3.8617865768799998665e-09      1.0739018646700000553e-11      1.3516177910000000361e-08      8.9128664546500000225e-05      0.00011306411838900000616      6.3693152109100002528e-05      0.00010939828445099999792      9.1355718579000003709e-07      1.4208184750400000009e-05      0.00030635724295500002534         0.82408367011700001115         0.17500265954065741258
          157164902.6590000093          25510261.136900000274          4090425774.8499999046         0.47892663289400000393         -27259.752685499999643      5.8300355357799996614e+24          2.0319944574400001791          54.144794682600000613                  1326398723920      5.4817450271400002898e-10                              0      1.1826021409500000149e-05                              0      0.00018049960896099998767      8.9334159261499997313e-10                              0       4.296832657820000029e-09      1.1291518108499999375e-11      1.4899750633999999436e-08      0.00010237164563799999891       0.0001278221095319999898      7.0382368386700001612e-05      0.00011907844323500000011      9.4355055498400002746e-07       1.460333326880000016e-05      0.00031532090093200002001         0.83578154306899998804         0.16327558829973018439
         157987002.99200001359          24912624.834800001234                  4070599654.75          0.4790735350229999856         -27334.979846199999884      5.6677486362400000007e+24           2.039990425560000098          54.140162401200001341                  1330603220290      4.6885244923300002832e-10                              0      1.1137621372399999361e-05                              0      0.00016481794081300000609      9.5570458566900007555e-10                              0      4.6741927540199997707e-09      1.1775162504399999367e-11      1.6077641616500001645e-08      0.00011374963976399999406      0.00014029207585800000766      7.5917704649699997493e-05      0.00012694758427400000696      9.6739556388899998086e-07      1.4909335526800000636e-05       0.0003220454081489999734         0.84395416684099999749         0.15507502626553926195
         158757698.34599998593            24496662.3946999982          4056724811.6599998474         0.47917441143200001363         -27435.287869399999181      5.5554975039200001639e+24          2.0457788631399997925          54.136493097200002467                  1333134281370       4.198486634509999761e-10                              0       1.067873446790000016e-05                              0      0.00015456395913600001041      1.0058866020299999465e-09                              0      4.9722961669299997889e-09       1.215462020319999937e-11      1.6999199797600001343e-08      0.00012275169336799999619      0.00015004681310100000222      8.0185893635199997041e-05      0.00013294562483099999135      9.8532131951900001448e-07      1.5136438044499999291e-05      0.00032694408778399997777         0.84954694915399997512          0.1494587888711340351
         159657213.51499998569          23932537.894900001585          4037181875.3899998665          0.4793130050280000054         -27576.879590199998347      5.4032367688800001684e+24          2.0535891472599998586          54.130959578199998816                  1335990504050      3.5865325323900001589e-10                              0      1.0052407050299999212e-05                              0      0.00014092744560900000422      1.0869988111000000223e-09                              0      5.4476798773099997899e-09      1.2752250387100000147e-11      1.8453048253700001572e-08      0.00013710836866699999321      0.00016540488294399999496      8.6797302426799995525e-05      0.00014211368990099998888       1.012083816979999934e-06      1.5470166245500000982e-05      0.00033401497463199998801         0.85720533195899994983         0.14176174136113831037
         160694119.08199998736          23245612.230799999088          4012426417.3600001335         0.47948280682299998512         -27735.928886800000328      5.2181387070599995295e+24          2.0631485696400000407          54.123262356300003262                  1341268691360      2.9282646692400000996e-10                              0      9.2967576865400001319e-06                              0      0.00012501660174199998878      1.2095475752299999245e-09                              0      6.1582153972700000319e-09      1.3626129174799999752e-11      2.0599406034000000185e-08      0.00015863690481399998701      0.00018803876114699999249      9.6329988396699994758e-05      0.00015509997860700000072      1.0488572221400000054e-06      1.5919752185299998855e-05      0.00034331557872799999985         0.86654010717399998498          0.1323671613722905982
         161776025.55199998617           22559076.35000000149          3985918855.1599998474         0.47965227091599998976         -27885.834473899998557      5.0324923174099998768e+24          2.0723587125199998127          54.114809876499997188                  1343675309070      2.3487017147700002124e-10                              0      8.5135583886900001709e-06                              0      0.00010944220276100000665      1.3703150681400000611e-09                              0      7.0833562122499996148e-09      1.4723030378499999016e-11      2.3345314462900000846e-08      0.00018669512818599999612      0.00021682858991100000413      0.00010808129765399999652      0.00017067407224699999426       1.089908529060000063e-06        1.63870336945000006e-05      0.00035251513049800001524         0.87582664180600000581         0.12300309922305774357
         162889263.66200000048          21903323.395100001246          3960187244.4200000763         0.47980805056100001016         -28035.387270200000785      4.8565359415000000501e+24          2.0815736341800001874          54.105666582899999639                  1345135096850      1.8910563849399999971e-10                              0      7.8000760281599993822e-06                              0      9.5845728603800002337e-05      1.5733041289000000518e-09                              0      8.2418712884499999681e-09      1.6078988733099999341e-11      2.6730619279700000793e-08      0.00022147199350400001015      0.00025162923403099999578       0.0001218666178030000034      0.00018844228100800000051      1.1353037480799999311e-06      1.6869667198699999299e-05      0.00036129265651600002071         0.88431694130500004825         0.11441666838632658099
         163832374.99000000954          21370290.295000001788          3938237084.6900000572         0.47993752120299998376         -28134.816361199998937       4.713523114790000022e+24          2.0889711314600001302          54.096629322299996545                  1357289610930      1.5657209127500000147e-10                              0      7.2241516519500002442e-06                              0      8.5194691171300000894e-05      1.8100618907900000801e-09                              0      9.5793218947100006387e-09      1.7651789846799999464e-11      3.0578578846399998444e-08      0.00026059779433399999629      0.00028983251966600002318      0.00013660147524100001116      0.00020694920877799998817      1.1829594200699999806e-06      1.7360655009699999278e-05      0.00036954836262899999535         0.89130836298000004625          0.1073171030597404596
         164694526.47999998927          20947267.190799999982          3920791537.1199998856         0.48004294427299998294         -28234.020871900000202      4.6010179263999997452e+24          2.0951822923800000886          54.087734379499998738                  1383430591930      1.3430765987399999032e-10                              0      6.8014542271999998252e-06                              0      7.7364405473200005461e-05      2.0705224028400000814e-09                              0      1.1037538386700000565e-08      1.9388715235200000762e-11      3.4725842674000003284e-08      0.00030206952897200001597      0.00032954199637399999743      0.00015163543070400000638      0.00022549584225099999091      1.2330553022200000356e-06      1.7877512036500000557e-05      0.00037786660415099998338         0.89691110670800000548         0.10159895947515254488
         165520309.56400001049          20533346.156300000846          3902733461.9200000763         0.48014628502000000765         -28332.907876900000701      4.4903987368299998394e+24          2.1009728048200000394          54.077633448599996768                  1439081452580      1.1436783266500000528e-10                              0      6.3689622252500000877e-06                              0      6.9690631214900001936e-05      2.4328088774000000801e-09                              0       1.305300491439999956e-08      2.1753723420700000826e-11      4.0356685527200000748e-08      0.00035766787403100001701      0.00038137996694999999137      0.00017068596951500000325      0.00024828245859199999214      1.2927767881200000127e-06      1.8458858185000000669e-05      0.00038627082438999997679         0.90236478582500001533        0.095995059874681890055
         166534500.51800000668           20016608.63560000062          3880681961.3099999428         0.48028012146299997598         -28480.935077800000727      4.3542975696199997781e+24          2.1089782654699997799          54.061137400200003356                  1565470819010        9.34627499373999961e-11                              0      5.8923448488699997733e-06                              0      6.1060040472200001536e-05      3.1045686672299998436e-09                              0      1.6766317099800000514e-08      2.6077958139099999768e-11      5.0572178183300002678e-08      0.00045664744394499997724      0.00047129888294499997729      0.00020293071037600000461      0.00028597672821300000644      1.3955037193699999393e-06      1.9465327583299998324e-05      0.00040051517574300001022         0.90921386826899996958        0.088880879010274013718
         167655115.55700001121          19411432.221299998462          3853383901.2399997711         0.48043970794800000546         -28628.538697200001479      4.1946983583999997415e+24          2.1181539633600001693          54.034420549099998254                  1806686239850      7.2387061271599995931e-11                              0      5.3240936751199995956e-06                              0      5.1263894356600002574e-05      4.4868797686199998271e-09                              0      2.4375554322000001196e-08      3.4512366742399997042e-11      7.0940948367700003148e-08       0.0006506663557640000135      0.00063966265897699996386      0.00026037922111399997536      0.00034993910092800001874      1.5622323567199999257e-06      2.1000153629399998971e-05      0.00041982976252899999311         0.91707486887900002692        0.080525403737239140134
         168629956.25400000811          18920934.381799999624          3829772422.2399997711         0.48057206843700001064         -28726.160420299998805      4.0648808364599999233e+24          2.1252717066599999818          54.002485974300000748                  2125001070870       5.776051838420000194e-11                              0      4.8512540554500001489e-06                              0      4.3629053864000003321e-05      6.5085787211600000017e-09                              0      3.5499655033500000321e-08      4.5999583095700002907e-11      9.9903918509000004257e-08      0.00092287015491900005124      0.00086371180476399998533      0.00033251372281799999962       0.0004259124634509999863      1.7474153797800000095e-06      2.2592958670200000295e-05      0.00043757643470499998266         0.92316783342399999501        0.073776619297878390236
         169536404.31499999762          18534901.901399999857          3810498552.8600001335         0.48067895865100002117         -28823.002204399999755      3.9628382496500001045e+24          2.1308606751000001012          53.966868700699997419                  2488295184050       4.788178644619999937e-11                              0      4.4861036471499997054e-06                              0       3.803771046139999923e-05      9.0696657638799993374e-09                              0      4.9634809946500002517e-08      5.9581646245199995034e-11      1.3594347971499999807e-07       0.0012587854005299999038       0.0011272543453299998985      0.00041300954957299999869      0.00050667171156300002451      1.9320655456599999741e-06      2.4104856180500000253e-05      0.00045320332140299997596         0.92762215100300005055        0.068550169177627906514
         170413200.41699999571          18155650.364999998361          3790840037.1199998856         0.48078675534799997227         -28918.899087400001008      3.8625874685800001862e+24          2.1362922457599999859          53.918636931100003551                  2963452861180      3.9449555014500002892e-11                              0      4.1321986634200003646e-06                              0       3.294678426880000093e-05       1.286957253679999968e-08                              0      7.0745624204200005907e-08      7.8359627505300001014e-11      1.8890062870400000488e-07       0.0017503278362300000483       0.0014951150070200000183      0.00051962518014199996289      0.00060866561190499996435      2.1486743633299999405e-06      2.5791544327999999328e-05      0.00046945726271199999646         0.93152856394899996584         0.06356295331741405874
         171279756.34700000286          17783458.054800000042          3770728746.3899998665         0.48089545994100002524         -29013.678641899998183       3.764108802750000132e+24          2.1415232842599998264          53.853765567799996461                  3547248559520      3.2309693649500000334e-11                              0      3.7880702907000001027e-06                              0      2.8372654168100001584e-05      1.8334597070099999026e-08                              0      1.0145322150599999568e-07      1.0338507034299999421e-10      2.6500500587300001403e-07       0.0024566112730500001826       0.0019979183958499999174      0.00065735421131499997133      0.00073390141287000003507      2.3917081586399999455e-06      2.7574641109400001315e-05       0.0004852373999919999876         0.93470651593400000401        0.058899949370821567951
         172145810.17899999022          17418597.924400001764          3750095528.2300000191          0.4810048550189999772         -29107.185549900001206      3.6673824628200002007e+24          2.1465075403100000173          53.768164631799997721                  4208612547970      2.6320109639399999951e-11      3.9810339902700000903e-27      3.4515960126199997978e-06       2.046146532160000044e-29      2.4310550607300001165e-05      2.5846764986900001155e-08      4.9604929795100001228e-28      1.4440762990099999313e-07      1.3513612391999999913e-10      3.7075165961599999001e-07       0.0034428720991400000619       0.0026644755328399999036      0.00082931731266299997096      0.00088206837606100000661      2.6493501522299999504e-06      2.9326530929000000204e-05      0.00049888562767100004623         0.93697803015400005222        0.054644071702725859063
         173016255.00200000405          17061255.572700001299          3728886437.0999999046         0.48111433057399999313         -29199.317209299999377      3.5723885278200001106e+24          2.1512045477799999205          53.658591437500000154                  4883779147640       2.134751345240000008e-11                              0      3.1208231977200000471e-06                              0       2.073793541519999839e-05       3.559114460730000189e-08                              0      2.0154385174300000018e-07      1.7302655331500000918e-10      5.1135710047200001389e-07         0.00476908627351999969       0.0035141216877999999386        0.001035055376549999951       0.0010494525155700000843      2.9032445260300001625e-06      3.0875448092299998318e-05      0.00050827835872899998406          0.9382018143360000284        0.050863805314059373774
         173893557.28000000119          16711430.681299999356          3707082188.5100002289         0.48122276411400000118         -29290.057401599999139      3.4791069220700001371e+24          2.1555911252999999661          53.523789469699998733                  5483208717330      1.7263808369399999366e-11                              0      2.7952571994400001663e-06                              0      1.7621554569500001675e-05      4.7392853186899999328e-08                              0      2.7316101585500000167e-07      2.1507090535099999129e-10      6.8875477136999999774e-07       0.0064738685370200003272       0.0045480829893200002204       0.0012691403101500000651       0.0012284392201700000766      3.1303884650299999005e-06      3.2029739393000000215e-05      0.00051118932597300000432         0.93831055539499996776        0.047602137741714484198
         175117201.15000000596          16240237.470799999312          3676141998.9200000763         0.48136738839299997306          -29445.77580179999859      3.3531713467200002358e+24          2.1611979220199999396           53.30052679559999973                  6014672264680      1.2864989088299999543e-11                              0      2.3598915968500001665e-06                              0      1.4008666065699999309e-05      6.5786236816299997939e-08                              0      3.9119747147800000867e-07      2.7350390216500002002e-10      9.8651540012599992108e-07       0.0094352622795799995919       0.0062269928361899998248       0.0016176332952999999959       0.0014737135126200000268      3.3575465346299998845e-06      3.2677121221299998616e-05      0.00050163706764199994699         0.93671658810600000322        0.043974325892019022755
         176528580.06299999356          15660438.196000000462          3635685163.1399998665         0.48153639941300002691         -29598.509150499998213       3.197986354669999769e+24          2.1675861476199997924          52.975653009900000256                  5997759057890      8.8737280076700007776e-12                              0         1.8480045333499999e-06                              0      1.0406872915800000119e-05      8.8669298921500001467e-08                              0       5.538512648500000298e-07      3.3370439252000000682e-10       1.415068663040000018e-06        0.013996923645600000199       0.0085885176701100008484        0.002049540520460000053       0.0017405583223699999575      3.4519097067399999485e-06      3.1719533121800000917e-05      0.00046677254055599998184         0.93240576010900000359        0.040702442939799569899
         177697811.05700001121          15217983.256799999624          3603497786.4499998093         0.48165279563699997523         -29684.917484800000238      3.0799737382599998434e+24          2.1722403448000000559          52.714809640600002183                  5466788464510      6.6550893911100000863e-12                              0      1.4985556063199999838e-06                              0      8.2363666837199991661e-06      1.0257664949499999601e-07                              0      6.6913469995499995819e-07      3.5997112521000000819e-10      1.7421806366099999665e-06        0.017853114186999998608        0.010409630352900000466       0.0023376930524399998877       0.0018905914947599999562      3.3777703777300001932e-06      2.9836818560699999807e-05      0.00042734989106899998971         0.92804777284600004084        0.038988384406104761859
         178750963.10199999809          14899651.186699999496          3580039678.9499998093         0.48172855166799999349         -29770.891597199999524      2.9957467774000002069e+24          2.1756716094600001554          52.533383848200003285                  4890061034820      5.4042158969800001611e-12                              0      1.2800091431200000575e-06                              0       6.958115091460000015e-06      1.0927397782899999854e-07                              0      7.3665539622300001335e-07      3.6589852459399999943e-10       1.952431368469999954e-06        0.020630200635900000639         0.01163465029119999973       0.0025090928529399999722        0.001965881867169999922      3.2657225206800000408e-06      2.8131259180100001629e-05      0.00039654303660699999822         0.92476501464799998331        0.038056182830194906774
         179751274.51800000668          14582497.314200000837          3556990443.6700000763         0.48180841946300001499         -29856.491253699998197      2.9131001765299999348e+24          2.1796508176399997936          52.349108303400001319                  4294135758780       4.389049777769999705e-12                              0      1.0978202317499999336e-06                              0      5.9033861811600001236e-06      1.1410836785699999682e-07                              0      7.9542169950199998607e-07      3.6588110819100001076e-10       2.150983270059999908e-06        0.023499141479200000293          0.0128567129097000004       0.0026706546723200001899       0.0020331782077799998715      3.1503247079600001269e-06      2.6534586042200001421e-05      0.00036905663009899997932         0.92141615906999996266        0.037115350029790709907
         180733147.02500000596          14249909.303700000048          3535827093.8400001526         0.48204661358200001642          -29941.58340490000046      2.8318434855499998597e+24            2.18820466703999994          51.918528821000002438                  4333839565320      3.4961296356499998167e-12                              0      9.8748211681399993121e-07                              0      5.0474543446600003815e-06      1.3459914914999999023e-07                              0      9.7796932086099997458e-07      4.1600817209599999495e-10      2.6858888056599999508e-06        0.030033708294699999752        0.015849491743099998475       0.0031542323283100001489       0.0023190368323700001965      3.3402353732099999043e-06      2.7240913958799999284e-05      0.00037011305491099999411         0.91399951958699998666        0.034233483197092684502
          181711481.1060000062          13934392.234300000593                     3512934675         0.48219355704700000986         -30026.207005399999616      2.7519726215000002522e+24          2.1938413977599999782          51.617720023499998661                  3835155945020      2.7999163657099999476e-12                              0      8.5488319207499997747e-07                              0      4.2783045158800000468e-06      1.4182655483699998771e-07                              0      1.0713306504699999748e-06      4.2192296042200002352e-10      3.0088866526999998565e-06        0.034848780835899997865        0.017851206957000001485       0.0034233540682600000632       0.0024468635923999997907      3.2864953057900001179e-06      2.6179489545900000783e-05       0.0003506349609519999978          0.9082496878710000221        0.032790650073076299531
          183068157.0189999938          13517793.990199999884          3480125876.5399999619         0.48226275734399998152         -30173.839794600000459      2.6441690010799999015e+24          2.1982628320600001715          51.435985214100000462                  2768415807130       2.072825716960000053e-12                              0      6.7858409623900004816e-07                              0      3.3960982441500001771e-06      1.3323637115099999296e-07                              0      1.0544301225499998987e-06      3.7538899784200001031e-10      3.0815127519300000792e-06        0.038039248443200002203        0.018893720245800001145       0.0034761162728499999872       0.0024154905565100001467      2.9690178086299999013e-06      2.3243214548999999809e-05      0.00030999662269600000621         0.90471046733700000164        0.032120404050866128987
         184504391.22799998522          13030662.087899999693          3442671491.4099998474         0.48233944033800002504         -30299.286287300001277      2.5210090411599999481e+24          2.2046168052500001444          51.262582141800002944                  1825790728000      1.4469435724800000556e-12                              0      5.2665021088600005119e-07                              0      2.6164494812399998802e-06      1.1993989629900000384e-07                              0      1.0006110161100000834e-06      3.1862425683699997847e-10      3.0744884639600001766e-06        0.041145217014399999844        0.019840551498899999111       0.0034999805415600001614       0.0023686152432500001339      2.6426044579099999807e-06      2.0493550092899998321e-05      0.00027474081681999997298         0.90185216026799996936         0.03098826000374379358
